Country,Year,Methane,Nitrous_oxide
World,1990,6909029785.15625,2368969970.703125
World,1991,6918609863.28125,2356090087.890625
World,1992,6895229980.46875,2348919921.875
World,1993,6914180175.78125,2332620117.1875
World,1994,6958839843.75,2424100097.65625
World,1995,7032089843.75,2479909912.109375
World,1996,7037109863.28125,2493520019.53125
World,1997,7268600097.65625,2480570068.359375
World,1998,7159870117.1875,2510939941.40625
World,1999,7112040039.0625,2498219970.703125
World,2000,7124000000.0,2490419921.875
World,2001,7062720214.84375,2512179931.640625
World,2002,7199600097.65625,2570020019.53125
World,2003,7262509765.625,2604750000.0
World,2004,7505180175.78125,2687850097.65625
World,2005,7556279785.15625,2701330078.125
World,2006,7749950195.3125,2733120117.1875
World,2007,7729959960.9375,2802949951.171875
World,2008,7782220214.84375,2775360107.421875
World,2009,7812910156.25,2769550048.828125
World,2010,7909879882.8125,2845370117.1875
World,2011,8050430175.78125,2914600097.65625
World,2012,8141109863.28125,2937790039.0625
World,2013,8109299804.6875,2918250000.0
World,2014,8266809570.3125,2963010009.765625
World,2015,8315910156.25,2995510009.765625
World,2016,8227179687.5,3027260009.765625
World,2017,8333400390.625,3087399902.34375
World,2018,8489969726.5625,3072530029.296875
World,2019,8609919921.875,3096790039.0625
