Year,CO2,NO,CH4
1990.0,22749574360.0,2368969970.703125,6909029785.15625
1991.0,23238102148.0,2356090087.890625,6918609863.28125
1992.0,22569624280.0,2348919921.875,6895229980.46875
1993.0,22803495349.0,2332620117.1875,6914180175.78125
1994.0,22964583359.0,2424100097.65625,6958839843.75
1995.0,23453944453.0,2479909912.109375,7032089843.75
1996.0,24154961206.0,2493520019.53125,7037109863.28125
1997.0,24300550431.0,2480570068.359375,7268600097.65625
1998.0,24206271270.0,2510939941.40625,7159870117.1875
1999.0,24518962288.0,2498219970.703125,7112040039.0625
2000.0,25234207250.0,2490419921.875,7124000000.0
2001.0,25451054498.0,2512179931.640625,7062720214.84375
2002.0,26039191477.0,2570020019.53125,7199600097.65625
2003.0,27366723291.0,2604750000.0,7262509765.625
2004.0,28627533033.0,2687850097.65625,7505180175.78125
2005.0,29602777196.0,2701330078.125,7556279785.15625
2006.0,30583530081.0,2733120117.1875,7749950195.3125
2007.0,31493741589.0,2802949951.171875,7729959960.9375
2008.0,32069444008.0,2775360107.421875,7782220214.84375
2009.0,31607042410.0,2769550048.828125,7812910156.25
2010.0,33343300453.0,2845370117.1875,7909879882.8125
2011.0,34468451046.0,2914600097.65625,8050430175.78125
2012.0,34974075146.0,2937790039.0625,8141109863.28125
2013.0,35283025443.0,2918250000.0,8109299804.6875
2014.0,35534442952.0,2963010009.765625,8266809570.3125
2015.0,35496406339.0,2995510009.765625,8315910156.25
2016.0,35452459298.0,3027260009.765625,8227179687.5
2017.0,35925737687.0,3087399902.34375,8333400390.625
2018.0,36646139785.0,3072530029.296875,8489969726.5625
2019.0,36702502903.0,3096790039.0625,8609919921.875
2020.0,34807259099.0,3124814513.1779785,8536440289.376801
2021.0,32265981500.896,3152652222.3405075,8598049685.776459
