Year,CH4
1990.0,6909029785.15625
1991.0,6918609863.28125
1992.0,6895229980.46875
1993.0,6914180175.78125
1994.0,6958839843.75
1995.0,7032089843.75
1996.0,7037109863.28125
1997.0,7268600097.65625
1998.0,7159870117.1875
1999.0,7112040039.0625
2000.0,7124000000.0
2001.0,7062720214.84375
2002.0,7199600097.65625
2003.0,7262509765.625
2004.0,7505180175.78125
2005.0,7556279785.15625
2006.0,7749950195.3125
2007.0,7729959960.9375
2008.0,7782220214.84375
2009.0,7812910156.25
2010.0,7909879882.8125
2011.0,8050430175.78125
2012.0,8141109863.28125
2013.0,8109299804.6875
2014.0,8266809570.3125
2015.0,8315910156.25
2016.0,8227179687.5
2017.0,8333400390.625
2018.0,8489969726.5625
2019.0,8609919921.875
2020.0,8536440289.376801
2021.0,8598049685.776459
2022.0,8659659082.176102
2023.0,8721268478.575745
2024.0,8782877874.975388
2025.0,8844487271.37503
2026.0,8906096667.774673
2027.0,8967706064.174332
2028.0,9029315460.573975
2029.0,9090924856.973618
2030.0,9152534253.37326
